,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
65,Queen's Park,43.6623015,-79.3894938,The Captain's Boil,43.662374914979594,-79.38353475807129,Seafood Restaurant
66,Queen's Park,43.6623015,-79.3894938,Buddies In Bad Times Theatre,43.663058539371825,-79.38344927771267,Nightclub
67,Queen's Park,43.6623015,-79.3894938,Starbucks,43.661527,-79.383411,Coffee Shop
68,Queen's Park,43.6623015,-79.3894938,freshii,43.66128623053018,-79.38396405932683,Salad Place
69,Queen's Park,43.6623015,-79.3894938,Crown Princess Fine Dining 伯爵名宴,43.66645492941117,-79.38769789187712,Chinese Restaurant
70,Queen's Park,43.6623015,-79.3894938,Wendy's,43.662820073147046,-79.38337917323224,Fast Food Restaurant
71,Queen's Park,43.6623015,-79.3894938,Starbucks,43.658204,-79.388998,Coffee Shop
72,Queen's Park,43.6623015,-79.3894938,Booster Juice,43.65865699,-79.38868207,Juice Bar
73,Queen's Park,43.6623015,-79.3894938,Aroma Espresso Bar,43.658927676749364,-79.38990298985978,Café
74,Queen's Park,43.6623015,-79.3894938,Hart House Gym,43.66417202442517,-79.39488839857401,Gym
75,Queen's Park,43.6623015,-79.3894938,Subway,43.659132014268515,-79.39111410032399,Sandwich Place
76,Queen's Park,43.6623015,-79.3894938,Starbucks,43.660887,-79.39372,Coffee Shop
77,Queen's Park,43.6623015,-79.3894938,Tim Hortons,43.6610382,-79.3937966,Coffee Shop
78,Queen's Park,43.6623015,-79.3894938,Convocation Hall,43.66082829233904,-79.39524545662506,College Auditorium
79,Queen's Park,43.6623015,-79.3894938,Tim Hortons,43.6594149,-79.3912214,Coffee Shop
80,Queen's Park,43.6623015,-79.3894938,Tim Hortons,43.658175,-79.3906813,Coffee Shop
81,Queen's Park,43.6623015,-79.3894938,SUDS,43.65988035580764,-79.39471219966201,Bar
82,Queen's Park,43.6623015,-79.3894938,Tim Hortons,43.658599,-79.388498,Coffee Shop
83,Queen's Park,43.6623015,-79.3894938,The Green Beet Cafe,43.66209577172247,-79.39415302454405,Vegetarian / Vegan Restaurant
84,Queen's Park,43.6623015,-79.3894938,Hart House Music Room,43.663758129167384,-79.39502654389076,Music Venue
85,"Ryerson,Garden District",43.6571618,-79.37893709999999,UNIQLO ユニクロ,43.65591027779457,-79.38064099181345,Clothing Store
86,"Ryerson,Garden District",43.6571618,-79.37893709999999,Silver Snail Comics,43.65703137958407,-79.38140310220501,Comic Shop
87,"Ryerson,Garden District",43.6571618,-79.37893709999999,Blaze Pizza,43.656518,-79.380015,Pizza Place
88,"Ryerson,Garden District",43.6571618,-79.37893709999999,Yonge-Dundas Square,43.65605389742188,-79.38049504264389,Plaza
89,"Ryerson,Garden District",43.6571618,-79.37893709999999,DAVIDsTEA,43.65658619027106,-79.38116704725516,Tea Room
